number,value,D,total_supply,balances0,balances1,balances2,A_gamma0,A_gamma1,A_gamma2,A_gamma3,prices0,prices1
16067734,2937693072208,143205336273433025150548638,173729185557456522058775,47304001605718,295007729639,40668524859959536060604,183752478137306770270222288013175834186240000,581076037942835227425498917514114728328226821,1633548703,0,16128578138385204031988,1171355455309445640389
16068034,2938911842646,143205517561507510735780015,173729185557456522058775,47267518960429,294299564092,40797542346789338523935,183752478137306770270222288013175834186240000,581076037942835227425498917514114728328226821,1633548703,0,16156686213766351825094,1170766716578090146142
16068334,2940128123786,143205632967178268875027345,173729185922893520395652,47342236351512,294209346650,40746186181393254875543,183752478137306770270222288013175834186240000,581076037942835227425498917514114728328226821,1633548703,0,16175073666770586702549,1170886857662792127700
16068634,2940564253682,143205906297603227223236436,173729185922893520395652,47276350916170,294750051618,40728134098385596351530,183752478137306770270222288013175834186240000,581076037942835227425498917514114728328226821,1633548703,0,16167889412406231483472,1171915565219978971700
16068934,2936672032401,143087965875418635696276978,173748844590804049257973,47297527611121,294887980132,40704828345250917023752,183752478137306770270222288013175834186240000,581076037942835227425498917514114728328226821,1633548703,0,16122719247058097392722,1170547864878245774585
16069234,2943299567131,143088725269610249575614866,173748844590804049257973,47343450157431,293328868611,40881598613842694118594,183752478137306770270222288013175834186240000,581076037942835227425498917514114728328226821,1633548703,0,16199032361036380721147,1172902290144093892472
16069534,2928310998633,142982943459885805055664929,173748844590804049257973,47195375905852,294382210193,40863232935271028115341,183752478137306770270222288013175834186240000,581076037942835227425498917514114728328226821,1633548703,0,16114057536795453408110,1161201894276303480926
16069834,2935438126135,142333233787439401208924123,173748844590804049257973,47990450256027,292581593403,40434515684082596842818,183752478137306770270222288013175834186240000,581076037942835227425498917514114728328226821,1633548703,0,16140804318784204547375,1167643423820640946917
16070134,2947031148642,143019789806803984546445803,173785756196818944768997,47381804143479,294652390206,40693445831611135120177,183752478137306770270222288013175834186240000,581076037942835227425498917514114728328226821,1633548703,0,16228101358289346528926,1175205259341573989438
16070434,2938998160844,142886759820252927147078388,173785756196818944768997,47273852105088,295292243360,40697681585727390529728,183752478137306770270222288013175834186240000,581076037942835227425498917514114728328226821,1633548703,0,16156801323353410088300,1170778353560162881550
16070734,2936953629363,142801942095983239833699463,173846420740708388597314,47566471535084,295291475546,40490763372557598212609,183752478137306770270222288013175834186240000,581076037942835227425498917514114728328226821,1633548703,0,16137954768738507528401,1169690314433269799442
16071034,2942869165416,142802719767608454576289731,173846506016859392992746,47877927177376,293407721606,40485868117717256555344,183752478137306770270222288013175834186240000,581076037942835227425498917514114728328226821,1633548703,0,16195468422707240026514,1172574665741387180319
16071334,2943184708541,143008352373109464958325802,173981696240694381977327,47623408184112,295639357640,40489844978285224559788,183752478137306770270222288013175834186240000,581076037942835227425498917514114728328226821,1633548703,0,16203004013890287102789,1172391549883169934589
16071634,2941154767804,142928241552124967838585172,173981791516278393475463,47437897991758,294468705641,40810117417486882976626,183752478137306770270222288013175834186240000,581076037942835227425498917514114728328226821,1633548703,0,16176323725878721797941,1171894715959135104272
16071934,2937859679433,142807067282294580177209095,173985641962314157424308,47419992507335,294072038242,40881477664375298302959,183752478137306770270222288013175834186240000,581076037942835227425498917514114728328226821,1633548703,0,16172625134503262424501,1168283965577472535574
16072234,2933673713579,142430643083723731336883844,173985853781384217875704,47713822007348,294676119178,40546165113180414848947,183752478137306770270222288013175834186240000,581076037942835227425498917514114728328226821,1633548703,0,16129545987332771185391,1166408352038273965377
16072534,2944175590251,142680375964529297925197473,173985857410499861483023,47955701291830,294126605822,40416468367666778542313,183752478137306770270222288013175834186240000,581076037942835227425498917514114728328226821,1633548703,0,16185579929244159266665,1174906780247368902143
16072834,2954490722812,142680779118235469874230773,173985857410499861483023,47996935849737,294723166101,40299795595318434309564,183752478137306770270222288013175834186240000,581076037942835227425498917514114728328226821,1633548703,0,16245175860076270635895,1182966925142422131383
16073134,2954794741127,142805418484158614309756038,173985857410499861483023,48044492827916,294723166101,40259678120827423684986,183752478137306770270222288013175834186240000,581076037942835227425498917514114728328226821,1633548703,0,16226520245010799205324,1184697050560786272705
16073434,2974917029297,142936309325047836993742369,173985857410499861483023,48395484062913,293685333279,40107879270145645822529,183752478137306770270222288013175834186240000,581076037942835227425498917514114728328226821,1633548703,0,16386586151411012427385,1197283887894987309950
